family_id,family_key,row_count,selector_sample,min_bucket_size,max_bucket_size,sharpness_counts,blocker_counts,unique_role_token_count,unique_tuple_token_count,sample_source_path_count,sample_role_tokens,sample_tuple_tokens,sample_source_paths,promoted_to_family_candidate,family_status
F0011,roles=04_03 04_09 11_09 :: tuples=tuple_edge_2308 tuple_edge_612 tuple_edge_920,5,B=11 AND C=9 AND D=4 | B=11 AND C=9 AND E=3 | B=11 AND D=4 | B=11 AND D=4 AND E=3 | B=11 AND E=3,2,2,"{""razor_small"": 5}","{""blocked_as_razor_small_until_proven"": 5}",3,3,8,04_03 04_09 11_09,tuple_edge_2308 tuple_edge_612 tuple_edge_920,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_slot12_composite_triangle_anatomy_001_transition_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv,false,repeated_construction_memory_no_law
F0012,roles=04_03 04_09 12_09 :: tuples=tuple_edge_2309 tuple_edge_612 tuple_edge_920,5,B=12 AND C=9 AND D=4 | B=12 AND C=9 AND E=3 | B=12 AND D=4 | B=12 AND D=4 AND E=3 | B=12 AND E=3,2,2,"{""razor_small"": 5}","{""blocked_as_razor_small_until_proven"": 5}",3,3,8,04_03 04_09 12_09,tuple_edge_2309 tuple_edge_612 tuple_edge_920,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_return_cell_carrier_incidence_packet_scout_002_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv,false,repeated_construction_memory_no_law
F0013,roles=04_05 10_05 10_07 :: tuples=tuple_edge_1041 tuple_edge_1202 tuple_edge_1760,5,B=4 AND C=5 AND E=7 | B=4 AND D=10 AND E=7 | B=4 AND E=7 | C=5 AND D=10 AND E=7 | C=5 AND E=7,2,2,"{""razor_small"": 5}","{""blocked_as_razor_small_until_proven"": 5}",3,3,8,04_05 10_05 10_07,tuple_edge_1041 tuple_edge_1202 tuple_edge_1760,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv,false,repeated_construction_memory_no_law
F0014,roles=04_05 10_05 10_14 :: tuples=tuple_edge_1041 tuple_edge_1202 tuple_edge_2587,5,B=4 AND C=5 AND E=14 | B=4 AND D=10 AND E=14 | B=4 AND E=14 | C=5 AND D=10 AND E=14 | C=5 AND E=14,2,2,"{""razor_small"": 5}","{""blocked_as_razor_small_until_proven"": 5}",3,3,8,04_05 10_05 10_14,tuple_edge_1041 tuple_edge_1202 tuple_edge_2587,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv,false,repeated_construction_memory_no_law
F0015,roles=04_05 14_05 14_10 :: tuples=tuple_edge_1041 tuple_edge_1203 tuple_edge_2587,5,B=4 AND C=5 AND E=10 | B=4 AND D=14 AND E=10 | B=4 AND E=10 | C=5 AND D=14 AND E=10 | C=5 AND E=10,2,2,"{""razor_small"": 5}","{""blocked_as_razor_small_until_proven"": 5}",3,3,8,04_05 14_05 14_10,tuple_edge_1041 tuple_edge_1203 tuple_edge_2587,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv,false,repeated_construction_memory_no_law
F0016,roles=07_10 07_11 09_11 :: tuples=tuple_edge_1759 tuple_edge_1760 tuple_edge_2424,5,B=9 AND C=11 AND D=7 | B=9 AND C=11 AND E=10 | B=9 AND D=7 | B=9 AND D=7 AND E=10 | B=9 AND E=10,2,2,"{""razor_small"": 5}","{""blocked_as_razor_small_until_proven"": 5}",3,3,8,07_10 07_11 09_11,tuple_edge_1759 tuple_edge_1760 tuple_edge_2424,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,false,repeated_construction_memory_no_law
F0017,roles=07_10 07_11 12_11 :: tuples=tuple_edge_1759 tuple_edge_1760 tuple_edge_2844,5,B=12 AND C=11 AND D=7 | B=12 AND C=11 AND E=10 | B=12 AND D=7 | B=12 AND D=7 AND E=10 | B=12 AND E=10,2,2,"{""razor_small"": 5}","{""blocked_as_razor_small_until_proven"": 5}",3,3,8,07_10 07_11 12_11,tuple_edge_1759 tuple_edge_1760 tuple_edge_2844,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,false,repeated_construction_memory_no_law
F0018,roles=07_10 07_11 :: tuples=tuple_edge_1759 tuple_edge_1760,5,C=11 AND D=7 | C=11 AND D=7 AND E=10 | C=11 AND E=10 | D=7 | D=7 AND E=10,4,4,"{""small_bucket"": 5}","{""blocked_by_null_or_marginal_stress"": 5}",2,2,8,07_10 07_11,tuple_edge_1759 tuple_edge_1760,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,false,repeated_construction_memory_no_law
F0019,roles=03_04 03_09 :: tuples=tuple_edge_611 tuple_edge_612,4,C=9 AND D=3 | C=9 AND D=3 AND E=4 | C=9 AND E=4 | D=3 AND E=4,4,4,"{""small_bucket"": 4}","{""blocked_by_null_or_marginal_stress"": 4}",2,2,8,03_04 03_09,tuple_edge_611 tuple_edge_612,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_edge_overlap_candidate_inspection_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv,false,repeated_construction_memory_no_law
F0020,roles=03_08 13_08 13_12 :: tuples=tuple_edge_2038 tuple_edge_3071 tuple_edge_766,4,B=3 AND C=8 AND E=12 | B=3 AND E=12 | C=8 AND E=12 | E=12,2,2,"{""razor_small"": 4}","{""blocked_as_razor_small_until_proven"": 4}",3,3,8,03_08 13_08 13_12,tuple_edge_2038 tuple_edge_3071 tuple_edge_766,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_frontier_symmetry_census_019_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_gate_frontier_full_audit_018b_rows.v1.csv,false,repeated_construction_memory_no_law
F0021,roles=04_03 04_09 :: tuples=tuple_edge_612 tuple_edge_920,4,C=9 AND D=4 | C=9 AND D=4 AND E=3 | C=9 AND E=3 | D=4 AND E=3,4,4,"{""small_bucket"": 4}","{""blocked_by_null_or_marginal_stress"": 4}",2,2,8,04_03 04_09,tuple_edge_612 tuple_edge_920,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_frontier_symmetry_census_019_rows.v1.csv,false,repeated_construction_memory_no_law
F0022,roles=10_07 :: tuples=tuple_edge_1760,4,A=3 AND D=10 AND E=7 | A=3 AND E=7 | D=10 AND E=7 | E=7,2,6,"{""medium_bucket"": 2, ""razor_small"": 2}","{""blocked_as_razor_small_until_proven"": 2, ""blocked_by_null_or_marginal_stress"": 2}",1,1,8,10_07,tuple_edge_1760,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_frontier_symmetry_census_019_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_gate_frontier_full_audit_018b_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_gate_frontier_worklist_018a.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_permission_gate_family_filter_016_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_permission_sharpness_audit_021_closest_candidates.v1.csv,false,repeated_construction_memory_no_law
F0023,roles=03_04 04_05 14_05 :: tuples=tuple_edge_1041 tuple_edge_1203 tuple_edge_609,3,A=3 AND B=4 AND D=14 | A=3 AND C=5 AND D=14 | A=3 AND D=14,3,3,"{""small_bucket"": 3}","{""blocked_by_null_or_marginal_stress"": 3}",3,3,8,03_04 04_05 14_05,tuple_edge_1041 tuple_edge_1203 tuple_edge_609,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_edge_overlap_candidate_inspection_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv,false,repeated_construction_memory_no_law
