blocked_reason,fields,values,selector_expression,bucket_size,frontier_indices,candidate_indices
selector_value_leak,A C E,3 | 5 | 13,A=3 AND C=5 AND E=13,1,6,77748
selector_value_leak,A C E,4 | 12 | 13,A=4 AND C=12 AND E=13,1,24,111209
selector_value_leak,A C E,4 | 8 | 13,A=4 AND C=8 AND E=13,1,19,102168
selector_value_leak,A C E,7 | 12 | 13,A=7 AND C=12 AND E=13,1,36,186724
selector_value_leak,A C E,9 | 5 | 13,A=9 AND C=5 AND E=13,1,51,223740
selector_value_leak,A C E,9 | 8 | 13,A=9 AND C=8 AND E=13,1,45,222420
selector_value_leak,A D,13 | 3,A=13 AND D=3,1,62,334129
selector_value_leak,A D,13 | 7,A=13 AND D=7,1,64,334443
selector_value_leak,A D,13 | 9,A=13 AND D=9,1,61,326517
selector_value_leak,A D E,10 | 13 | 14,A=10 AND D=13 AND E=14,1,59,258841
selector_value_leak,A D E,10 | 13 | 6,A=10 AND D=13 AND E=6,1,57,258837
selector_value_leak,A D E,10 | 13 | 8,A=10 AND D=13 AND E=8,1,58,258839
selector_value_leak,A D E,10 | 6 | 13,A=10 AND D=6 AND E=13,1,56,258796
selector_value_leak,A D E,13 | 10 | 14,A=13 AND D=10 AND E=14,1,67,334477
selector_value_leak,A D E,13 | 10 | 5,A=13 AND D=10 AND E=5,1,65,334472
selector_value_leak,A D E,13 | 10 | 7,A=13 AND D=10 AND E=7,1,66,334474
selector_value_leak,A D E,13 | 3 | 4,A=13 AND D=3 AND E=4,1,62,334129
selector_value_leak,A D E,13 | 4 | 3,A=13 AND D=4 AND E=3,1,63,334140
selector_value_leak,A D E,13 | 4 | 9,A=13 AND D=4 AND E=9,1,60,326476
selector_value_leak,A D E,13 | 7 | 10,A=13 AND D=7 AND E=10,1,64,334443
selector_value_leak,A D E,13 | 9 | 4,A=13 AND D=9 AND E=4,1,61,326517
selector_value_leak,A D E,3 | 13 | 14,A=3 AND D=13 AND E=14,1,13,87241
selector_value_leak,A D E,3 | 13 | 6,A=3 AND D=13 AND E=6,1,11,87236
selector_value_leak,A D E,3 | 13 | 8,A=3 AND D=13 AND E=8,1,12,87238
selector_value_leak,A D E,3 | 14 | 13,A=3 AND D=14 AND E=13,1,6,77748
selector_value_leak,A D E,4 | 13 | 12,A=4 AND D=13 AND E=12,1,15,102156
selector_value_leak,A D E,4 | 13 | 8,A=4 AND D=13 AND E=8,1,26,111262
selector_value_leak,A D E,4 | 14 | 13,A=4 AND D=14 AND E=13,1,19,102168
selector_value_leak,A D E,4 | 6 | 13,A=4 AND D=6 AND E=13,1,24,111209
selector_value_leak,A D E,7 | 13 | 14,A=7 AND D=13 AND E=14,1,39,186769
selector_value_leak,A D E,7 | 13 | 6,A=7 AND D=13 AND E=6,1,37,186765
selector_value_leak,A D E,7 | 13 | 8,A=7 AND D=13 AND E=8,1,38,186766
selector_value_leak,A D E,7 | 6 | 13,A=7 AND D=6 AND E=13,1,36,186724
selector_value_leak,A D E,9 | 13 | 12,A=9 AND D=13 AND E=12,1,41,222408
selector_value_leak,A D E,9 | 13 | 14,A=9 AND D=13 AND E=14,1,42,222409
selector_value_leak,A D E,9 | 13 | 6,A=9 AND D=13 AND E=6,1,40,222404
selector_value_leak,A E,10 | 13,A=10 AND E=13,1,56,258796
selector_value_leak,A E,13 | 10,A=13 AND E=10,1,64,334443
selector_value_leak,A E,13 | 14,A=13 AND E=14,1,67,334477
selector_value_leak,A E,13 | 3,A=13 AND E=3,1,63,334140
selector_value_leak,A E,13 | 5,A=13 AND E=5,1,65,334472
selector_value_leak,A E,13 | 7,A=13 AND E=7,1,66,334474
selector_value_leak,A E,13 | 9,A=13 AND E=9,1,60,326476
selector_value_leak,A E,3 | 13,A=3 AND E=13,1,6,77748
selector_value_leak,A E,7 | 13,A=7 AND E=13,1,36,186724
selector_value_leak,B C E,9 | 12 | 13,B=9 AND C=12 AND E=13,1,24,111209
selector_value_leak,B D E,9 | 6 | 13,B=9 AND D=6 AND E=13,1,24,111209
selector_value_leak,B E,9 | 13,B=9 AND E=13,1,24,111209
selector_value_leak,A B,13 | 8,A=13 AND B=8,2,60 61,326476 326517
selector_value_leak,A B C,13 | 12 | 9,A=13 AND B=12 AND C=9,2,62 63,334129 334140
selector_value_leak,A B C,13 | 8 | 3,A=13 AND B=8 AND C=3,2,60 61,326476 326517
selector_value_leak,A C,13 | 3,A=13 AND C=3,2,60 61,326476 326517
selector_value_leak,A C,13 | 9,A=13 AND C=9,2,62 63,334129 334140
selector_value_leak,A D,13 | 4,A=13 AND D=4,2,60 63,326476 334140
selector_value_leak,A D E,4 | 13 | 14,A=4 AND D=13 AND E=14,2,16 27,102157 111265
selector_value_leak,A D E,4 | 13 | 6,A=4 AND D=13 AND E=6,2,14 25,102151 111260
selector_value_leak,A D E,9 | 14 | 13,A=9 AND D=14 AND E=13,2,45 51,222420 223740
selector_value_leak,A E,13 | 4,A=13 AND E=4,2,61 62,326517 334129
selector_value_leak,A E,4 | 13,A=4 AND E=13,2,19 24,102168 111209
selector_value_leak,A E,9 | 13,A=9 AND E=13,2,45 51,222420 223740
selector_value_leak,B C E,11 | 12 | 13,B=11 AND C=12 AND E=13,2,36 56,186724 258796
selector_value_leak,B C E,3 | 8 | 13,B=3 AND C=8 AND E=13,2,19 45,102168 222420
selector_value_leak,B C E,4 | 5 | 13,B=4 AND C=5 AND E=13,2,6 51,77748 223740
selector_value_leak,B D E,11 | 13 | 14,B=11 AND D=13 AND E=14,2,39 59,186769 258841
selector_value_leak,B D E,11 | 13 | 6,B=11 AND D=13 AND E=6,2,37 57,186765 258837
selector_value_leak,B D E,11 | 13 | 8,B=11 AND D=13 AND E=8,2,38 58,186766 258839
selector_value_leak,B D E,11 | 6 | 13,B=11 AND D=6 AND E=13,2,36 56,186724 258796
selector_value_leak,B D E,3 | 13 | 12,B=3 AND D=13 AND E=12,2,15 41,102156 222408
selector_value_leak,B D E,3 | 13 | 14,B=3 AND D=13 AND E=14,2,16 42,102157 222409
selector_value_leak,B D E,3 | 13 | 6,B=3 AND D=13 AND E=6,2,14 40,102151 222404
selector_value_leak,B D E,3 | 14 | 13,B=3 AND D=14 AND E=13,2,19 45,102168 222420
selector_value_leak,B D E,4 | 14 | 13,B=4 AND D=14 AND E=13,2,6 51,77748 223740
selector_value_leak,B D E,9 | 13 | 14,B=9 AND D=13 AND E=14,2,13 27,87241 111265
selector_value_leak,B D E,9 | 13 | 6,B=9 AND D=13 AND E=6,2,11 25,87236 111260
selector_value_leak,B D E,9 | 13 | 8,B=9 AND D=13 AND E=8,2,12 26,87238 111262
selector_value_leak,B E,11 | 13,B=11 AND E=13,2,36 56,186724 258796
selector_value_leak,B E,3 | 13,B=3 AND E=13,2,19 45,102168 222420
selector_value_leak,B E,4 | 13,B=4 AND E=13,2,6 51,77748 223740
selector_value_leak,C D E,5 | 14 | 13,C=5 AND D=14 AND E=13,2,6 51,77748 223740
selector_value_leak,C D E,8 | 13 | 12,C=8 AND D=13 AND E=12,2,15 41,102156 222408
selector_value_leak,C D E,8 | 13 | 14,C=8 AND D=13 AND E=14,2,16 42,102157 222409
selector_value_leak,C D E,8 | 13 | 6,C=8 AND D=13 AND E=6,2,14 40,102151 222404
selector_value_leak,C D E,8 | 14 | 13,C=8 AND D=14 AND E=13,2,19 45,102168 222420
selector_value_leak,C E,5 | 13,C=5 AND E=13,2,6 51,77748 223740
selector_value_leak,C E,8 | 13,C=8 AND E=13,2,19 45,102168 222420
selector_value_leak,D E,13 | 12,D=13 AND E=12,2,15 41,102156 222408
selector_value_leak,A B D,10 | 11 | 13,A=10 AND B=11 AND D=13,3,57 58 59,258837 258839 258841
selector_value_leak,A B D,13 | 12 | 10,A=13 AND B=12 AND D=10,3,65 66 67,334472 334474 334477
selector_value_leak,A B D,3 | 9 | 13,A=3 AND B=9 AND D=13,3,11 12 13,87236 87238 87241
selector_value_leak,A B D,4 | 3 | 13,A=4 AND B=3 AND D=13,3,14 15 16,102151 102156 102157
selector_value_leak,A B D,4 | 9 | 13,A=4 AND B=9 AND D=13,3,25 26 27,111260 111262 111265
selector_value_leak,A B D,7 | 11 | 13,A=7 AND B=11 AND D=13,3,37 38 39,186765 186766 186769
selector_value_leak,A B D,9 | 3 | 13,A=9 AND B=3 AND D=13,3,40 41 42,222404 222408 222409
selector_value_leak,A C D,10 | 12 | 13,A=10 AND C=12 AND D=13,3,57 58 59,258837 258839 258841
selector_value_leak,A C D,13 | 11 | 10,A=13 AND C=11 AND D=10,3,65 66 67,334472 334474 334477
selector_value_leak,A C D,3 | 12 | 13,A=3 AND C=12 AND D=13,3,11 12 13,87236 87238 87241
selector_value_leak,A C D,4 | 12 | 13,A=4 AND C=12 AND D=13,3,25 26 27,111260 111262 111265
selector_value_leak,A C D,4 | 8 | 13,A=4 AND C=8 AND D=13,3,14 15 16,102151 102156 102157
selector_value_leak,A C D,7 | 12 | 13,A=7 AND C=12 AND D=13,3,37 38 39,186765 186766 186769
selector_value_leak,A C D,9 | 8 | 13,A=9 AND C=8 AND D=13,3,40 41 42,222404 222408 222409
selector_value_leak,A D,10 | 13,A=10 AND D=13,3,57 58 59,258837 258839 258841
selector_value_leak,A D,13 | 10,A=13 AND D=10,3,65 66 67,334472 334474 334477
selector_value_leak,A D,3 | 13,A=3 AND D=13,3,11 12 13,87236 87238 87241
selector_value_leak,A D,7 | 13,A=7 AND D=13,3,37 38 39,186765 186766 186769
selector_value_leak,A D,9 | 13,A=9 AND D=13,3,40 41 42,222404 222408 222409
selector_value_leak,C D E,12 | 6 | 13,C=12 AND D=6 AND E=13,3,24 36 56,111209 186724 258796
selector_value_leak,C E,12 | 13,C=12 AND E=13,3,24 36 56,111209 186724 258796
selector_value_leak,D E,6 | 13,D=6 AND E=13,3,24 36 56,111209 186724 258796
selector_value_leak,A B C,13 | 12 | 11,A=13 AND B=12 AND C=11,4,64 65 66 67,334443 334472 334474 334477
selector_value_leak,A C,13 | 11,A=13 AND C=11,4,64 65 66 67,334443 334472 334474 334477
selector_value_leak,C D E,12 | 13 | 14,C=12 AND D=13 AND E=14,4,13 27 39 59,87241 111265 186769 258841
selector_value_leak,C D E,12 | 13 | 6,C=12 AND D=13 AND E=6,4,11 25 37 57,87236 111260 186765 258837
selector_value_leak,C D E,12 | 13 | 8,C=12 AND D=13 AND E=8,4,12 26 38 58,87238 111262 186766 258839
selector_value_leak,D E,13 | 8,D=13 AND E=8,4,12 26 38 58,87238 111262 186766 258839
selector_value_leak,D E,14 | 13,D=14 AND E=13,4,6 19 45 51,77748 102168 222420 223740
selector_value_leak,A B,13 | 12,A=13 AND B=12,6,62 63 64 65 66 67,334129 334140 334443 334472 334474 334477
selector_value_leak,A D,4 | 13,A=4 AND D=13,6,14 15 16 25 26 27,102151 102156 102157 111260 111262 111265
selector_value_leak,B C D,11 | 12 | 13,B=11 AND C=12 AND D=13,6,37 38 39 57 58 59,186765 186766 186769 258837 258839 258841
selector_value_leak,B C D,3 | 8 | 13,B=3 AND C=8 AND D=13,6,14 15 16 40 41 42,102151 102156 102157 222404 222408 222409
selector_value_leak,B C D,9 | 12 | 13,B=9 AND C=12 AND D=13,6,11 12 13 25 26 27,87236 87238 87241 111260 111262 111265
selector_value_leak,B D,11 | 13,B=11 AND D=13,6,37 38 39 57 58 59,186765 186766 186769 258837 258839 258841
selector_value_leak,B D,3 | 13,B=3 AND D=13,6,14 15 16 40 41 42,102151 102156 102157 222404 222408 222409
selector_value_leak,B D,9 | 13,B=9 AND D=13,6,11 12 13 25 26 27,87236 87238 87241 111260 111262 111265
selector_value_leak,C D,8 | 13,C=8 AND D=13,6,14 15 16 40 41 42,102151 102156 102157 222404 222408 222409
selector_value_leak,D E,13 | 14,D=13 AND E=14,6,13 16 27 39 42 59,87241 102157 111265 186769 222409 258841
selector_value_leak,D E,13 | 6,D=13 AND E=6,6,11 14 25 37 40 57,87236 102151 111260 186765 222404 258837
selector_value_leak,E,13,E=13,7,6 19 24 36 45 51 56,77748 102168 111209 186724 222420 223740 258796
selector_value_leak,A,13,A=13,8,60 61 62 63 64 65 66 67,326476 326517 334129 334140 334443 334472 334474 334477
selector_value_leak,C D,12 | 13,C=12 AND D=13,12,11 12 13 25 26 27 37 38 39 57 58 59,87236 87238 87241 111260 111262 111265 186765 186766 186769 258837 258839 258841
selector_value_leak,D,13,D=13,18,11 12 13 14 15 16 25 26 27 37 38 39 40 41 42 57 58 59,87236 87238 87241 102151 102156 102157 111260 111262 111265 186765 186766 186769 222404 222408 222409 258837 258839 258841
