frontier_index,candidate_index,A,B,C,D,E,role_pairs,q_edge_ids,expected_role_pairs,expected_sources,expected_targets,delta_profile,expected_delta_profile,class_profile,expected_class_profile,relative_to_C_signature,relative_to_B_signature,slot_delta_signature,role_pair_replay,q_edge_count_ok,q_edge_unique,body_edge_replay,direct_edge_replay_count,undirected_edge_replay_count,successor_signature_replay,deferred_candidate,current_gate_backed,structural_replay_pass,gate_receipt_status,failure_reasons
30,164415,6,12,11,7,10,06_12 12_11 07_11 07_10,tuple_edge_1472 tuple_edge_2844 tuple_edge_1759 tuple_edge_1760,06_12 12_11 07_11 07_10,6:23 12:54 7:23 7:24,12:23 11:24 11:23 10:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,10 1 0 11 14,9 0 14 10 13,6 14 4 3,true,true,true,true,3,4,true,true,false,true,requires_own_future_gate_receipt,none
31,164445,6,12,11,10,5,06_12 12_11 10_11 10_05,tuple_edge_1472 tuple_edge_2844 tuple_edge_2584 tuple_edge_1204,06_12 12_11 10_11 10_05,6:23 12:54 10:23 10:24,12:23 11:24 11:23 5:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,10 1 0 14 9,9 0 14 13 8,6 14 1 10,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
32,164446,6,12,11,10,7,06_12 12_11 10_11 10_07,tuple_edge_1472 tuple_edge_2844 tuple_edge_2584 tuple_edge_1760,06_12 12_11 10_11 10_07,6:23 12:54 10:23 10:24,12:23 11:24 11:23 7:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,10 1 0 14 11,9 0 14 13 10,6 14 1 12,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
33,164450,6,12,11,10,14,06_12 12_11 10_11 10_14,tuple_edge_1472 tuple_edge_2844 tuple_edge_2584 tuple_edge_2587,06_12 12_11 10_11 10_14,6:23 12:54 10:23 10:24,12:23 11:24 11:23 14:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,10 1 0 14 3,9 0 14 13 2,6 14 1 4,true,true,true,true,3,4,true,true,false,true,requires_own_future_gate_receipt,none
34,186421,7,11,9,3,4,07_11 11_09 03_09 03_04,tuple_edge_1759 tuple_edge_2308 tuple_edge_611 tuple_edge_612,07_11 11_09 03_09 03_04,7:23 11:54 3:23 3:24,11:23 9:24 9:23 4:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,13 2 0 9 10,11 0 13 7 8,4 13 6 1,true,true,true,true,3,4,true,true,false,true,requires_own_future_gate_receipt,none
35,186432,7,11,9,4,3,07_11 11_09 04_09 04_03,tuple_edge_1759 tuple_edge_2308 tuple_edge_920 tuple_edge_612,07_11 11_09 04_09 04_03,7:23 11:54 4:23 4:24,11:23 9:24 9:23 3:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,13 2 0 10 9,11 0 13 8 7,4 13 5 14,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
36,186724,7,11,12,6,13,07_11 11_12 06_12 06_13,tuple_edge_1759 tuple_edge_2945 tuple_edge_1472 tuple_edge_1475,07_11 11_12 06_12 06_13,7:23 11:54 6:23 6:24,11:23 12:24 12:23 13:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,10 14 0 9 1,11 0 1 10 2,4 1 6 7,true,true,true,true,4,4,true,true,false,true,requires_own_future_gate_receipt,none
37,186765,7,11,12,13,6,07_11 11_12 13_12 13_06,tuple_edge_1759 tuple_edge_2945 tuple_edge_3070 tuple_edge_1475,07_11 11_12 13_12 13_06,7:23 11:54 13:23 13:24,11:23 12:24 12:23 6:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,10 14 0 1 9,11 0 1 2 10,4 1 14 8,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
38,186766,7,11,12,13,8,07_11 11_12 13_12 13_08,tuple_edge_1759 tuple_edge_2945 tuple_edge_3070 tuple_edge_2040,07_11 11_12 13_12 13_08,7:23 11:54 13:23 13:24,11:23 12:24 12:23 8:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,10 14 0 1 11,11 0 1 2 12,4 1 14 10,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
39,186769,7,11,12,13,14,07_11 11_12 13_12 13_14,tuple_edge_1759 tuple_edge_2945 tuple_edge_3070 tuple_edge_3292,07_11 11_12 13_12 13_14,7:23 11:54 13:23 13:24,11:23 12:24 12:23 14:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,10 14 0 1 2,11 0 1 2 3,4 1 14 1,true,true,true,true,3,4,true,true,false,true,requires_own_future_gate_receipt,none
40,222404,9,3,8,13,6,09_03 03_08 13_08 13_06,tuple_edge_611 tuple_edge_766 tuple_edge_2038 tuple_edge_1475,09_03 03_08 13_08 13_06,9:23 3:54 13:23 13:24,3:23 8:24 8:23 6:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,1 10 0 5 13,6 0 5 10 3,9 5 10 8,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
41,222408,9,3,8,13,12,09_03 03_08 13_08 13_12,tuple_edge_611 tuple_edge_766 tuple_edge_2038 tuple_edge_3071,09_03 03_08 13_08 13_12,9:23 3:54 13:23 13:24,3:23 8:24 8:23 12:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,1 10 0 5 4,6 0 5 10 9,9 5 10 14,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
42,222409,9,3,8,13,14,09_03 03_08 13_08 13_14,tuple_edge_611 tuple_edge_766 tuple_edge_2038 tuple_edge_3292,09_03 03_08 13_08 13_14,9:23 3:54 13:23 13:24,3:23 8:24 8:23 14:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,1 10 0 5 6,6 0 5 10 11,9 5 10 1,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
43,222414,9,3,8,14,5,09_03 03_08 14_08 14_05,tuple_edge_611 tuple_edge_766 tuple_edge_2039 tuple_edge_1205,09_03 03_08 14_08 14_05,9:23 3:54 14:23 14:24,3:23 8:24 8:23 5:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,1 10 0 6 12,6 0 5 11 2,9 5 9 6,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
44,222417,9,3,8,14,10,09_03 03_08 14_08 14_10,tuple_edge_611 tuple_edge_766 tuple_edge_2039 tuple_edge_2587,09_03 03_08 14_08 14_10,9:23 3:54 14:23 14:24,3:23 8:24 8:23 10:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,1 10 0 6 2,6 0 5 11 7,9 5 9 11,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
45,222420,9,3,8,14,13,09_03 03_08 14_08 14_13,tuple_edge_611 tuple_edge_766 tuple_edge_2039 tuple_edge_3292,09_03 03_08 14_08 14_13,9:23 3:54 14:23 14:24,3:23 8:24 8:23 13:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,1 10 0 6 5,6 0 5 11 10,9 5 9 14,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
46,223691,9,4,5,10,7,09_04 04_05 10_05 10_07,tuple_edge_920 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760,09_04 04_05 10_05 10_07,9:23 4:54 10:23 10:24,4:23 5:24 5:23 7:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,4 14 0 5 2,5 0 1 6 3,10 1 10 12,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
47,223693,9,4,5,10,11,09_04 04_05 10_05 10_11,tuple_edge_920 tuple_edge_1041 tuple_edge_1202 tuple_edge_2586,09_04 04_05 10_05 10_11,9:23 4:54 10:23 10:24,4:23 5:24 5:23 11:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,4 14 0 5 6,5 0 1 6 7,10 1 10 1,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
48,223696,9,4,5,10,14,09_04 04_05 10_05 10_14,tuple_edge_920 tuple_edge_1041 tuple_edge_1202 tuple_edge_2587,09_04 04_05 10_05 10_14,9:23 4:54 10:23 10:24,4:23 5:24 5:23 14:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,4 14 0 5 9,5 0 1 6 10,10 1 10 4,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
49,223736,9,4,5,14,8,09_04 04_05 14_05 14_08,tuple_edge_920 tuple_edge_1041 tuple_edge_1203 tuple_edge_2041,09_04 04_05 14_05 14_08,9:23 4:54 14:23 14:24,4:23 5:24 5:23 8:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,4 14 0 9 3,5 0 1 10 4,10 1 6 9,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
50,223737,9,4,5,14,10,09_04 04_05 14_05 14_10,tuple_edge_920 tuple_edge_1041 tuple_edge_1203 tuple_edge_2587,09_04 04_05 14_05 14_10,9:23 4:54 14:23 14:24,4:23 5:24 5:23 10:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,4 14 0 9 5,5 0 1 10 6,10 1 6 11,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
51,223740,9,4,5,14,13,09_04 04_05 14_05 14_13,tuple_edge_920 tuple_edge_1041 tuple_edge_1203 tuple_edge_3292,09_04 04_05 14_05 14_13,9:23 4:54 14:23 14:24,4:23 5:24 5:23 13:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,4 14 0 9 8,5 0 1 10 9,10 1 6 14,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
52,249388,10,5,4,3,9,10_05 05_04 03_04 03_09,tuple_edge_1202 tuple_edge_921 tuple_edge_609 tuple_edge_614,10_05 05_04 03_04 03_09,10:23 5:54 3:23 3:24,5:23 4:24 4:23 9:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,6 1 0 14 5,5 0 14 13 4,10 14 1 6,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
53,249429,10,5,4,9,3,10_05 05_04 09_04 09_03,tuple_edge_1202 tuple_edge_921 tuple_edge_920 tuple_edge_614,10_05 05_04 09_04 09_03,10:23 5:54 9:23 9:24,5:23 4:24 4:23 3:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,6 1 0 5 14,5 0 14 4 13,10 14 10 9,true,true,true,true,0,4,true,true,false,true,requires_own_future_gate_receipt,none
54,258625,10,11,9,3,4,10_11 11_09 03_09 03_04,tuple_edge_2584 tuple_edge_2308 tuple_edge_611 tuple_edge_612,10_11 11_09 03_09 03_04,10:23 11:54 3:23 3:24,11:23 9:24 9:23 4:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,1 2 0 9 10,14 0 13 7 8,1 13 6 1,true,true,true,true,3,4,true,true,false,true,requires_own_future_gate_receipt,none
55,258636,10,11,9,4,3,10_11 11_09 04_09 04_03,tuple_edge_2584 tuple_edge_2308 tuple_edge_920 tuple_edge_612,10_11 11_09 04_09 04_03,10:23 11:54 4:23 4:24,11:23 9:24 9:23 3:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,1 2 0 10 9,14 0 13 8 7,1 13 5 14,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
56,258796,10,11,12,6,13,10_11 11_12 06_12 06_13,tuple_edge_2584 tuple_edge_2945 tuple_edge_1472 tuple_edge_1475,10_11 11_12 06_12 06_13,10:23 11:54 6:23 6:24,11:23 12:24 12:23 13:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,13 14 0 9 1,14 0 1 10 2,1 1 6 7,true,true,true,true,4,4,true,true,false,true,requires_own_future_gate_receipt,none
57,258837,10,11,12,13,6,10_11 11_12 13_12 13_06,tuple_edge_2584 tuple_edge_2945 tuple_edge_3070 tuple_edge_1475,10_11 11_12 13_12 13_06,10:23 11:54 13:23 13:24,11:23 12:24 12:23 6:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,13 14 0 1 9,14 0 1 2 10,1 1 14 8,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
58,258839,10,11,12,13,8,10_11 11_12 13_12 13_08,tuple_edge_2584 tuple_edge_2945 tuple_edge_3070 tuple_edge_2040,10_11 11_12 13_12 13_08,10:23 11:54 13:23 13:24,11:23 12:24 12:23 8:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,13 14 0 1 11,14 0 1 2 12,1 1 14 10,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
59,258841,10,11,12,13,14,10_11 11_12 13_12 13_14,tuple_edge_2584 tuple_edge_2945 tuple_edge_3070 tuple_edge_3292,10_11 11_12 13_12 13_14,10:23 11:54 13:23 13:24,11:23 12:24 12:23 14:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,13 14 0 1 2,14 0 1 2 3,1 1 14 1,true,true,true,true,3,4,true,true,false,true,requires_own_future_gate_receipt,none
60,326476,13,8,3,4,9,13_08 08_03 04_03 04_09,tuple_edge_2038 tuple_edge_613 tuple_edge_609 tuple_edge_922,13_08 08_03 04_03 04_09,13:23 8:54 4:23 4:24,8:23 3:24 3:23 9:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,10 5 0 1 6,5 0 10 11 1,10 10 14 5,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
61,326517,13,8,3,9,4,13_08 08_03 09_03 09_04,tuple_edge_2038 tuple_edge_613 tuple_edge_611 tuple_edge_922,13_08 08_03 09_03 09_04,13:23 8:54 9:23 9:24,8:23 3:24 3:23 4:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,10 5 0 6 1,5 0 10 1 11,10 10 9 10,true,true,true,true,0,4,true,true,false,true,requires_own_future_gate_receipt,none
62,334129,13,12,9,3,4,13_12 12_09 03_09 03_04,tuple_edge_3070 tuple_edge_2309 tuple_edge_611 tuple_edge_612,13_12 12_09 03_09 03_04,13:23 12:54 3:23 3:24,12:23 9:24 9:23 4:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,4 3 0 9 10,1 0 12 6 7,14 12 6 1,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
63,334140,13,12,9,4,3,13_12 12_09 04_09 04_03,tuple_edge_3070 tuple_edge_2309 tuple_edge_920 tuple_edge_612,13_12 12_09 04_09 04_03,13:23 12:54 4:23 4:24,12:23 9:24 9:23 3:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,4 3 0 10 9,1 0 12 7 6,14 12 5 14,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
64,334443,13,12,11,7,10,13_12 12_11 07_11 07_10,tuple_edge_3070 tuple_edge_2844 tuple_edge_1759 tuple_edge_1760,13_12 12_11 07_11 07_10,13:23 12:54 7:23 7:24,12:23 11:24 11:23 10:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,2 1 0 11 14,1 0 14 10 13,14 14 4 3,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
